Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10,1
Query 2,2,20,0.0
Query 3,3,30,-16.25
Query 4,3,30,-14.25
Query 5,2,20,-4.0
Query 6,1,10,0
Query 7,4,40,-4.5
Query 8,2,20,-80.0
Query 9,5,50,0.15000000000000002
Query 10,0,0,0
Query 11,3,30,-6.5
Query 12,1,10,0
Query 13,1,10,0
Query 14,1,10,0
Query 15,3,30,-7.0
Query 16,3,30,-11.25
Query 17,4,40,0.5
Query 18,3,30,-10.5
Query 19,1,10,1
Query 20,0,0,0
Query 21,4,40,-12.5
Query 22,1,10,0
Query 23,1,10,0
Query 24,1,10,0
Query 25,2,20,-35.0
Query 26,0,0,0
Query 27,1,10,0
Query 28,4,40,-6.1
Query 29,2,20,-1.0
Query 30,2,20,-12.0
Query 31,4,40,-4.5
Query 32,2,20,-9.0
Query 33,4,40,-6.0
Query 34,3,30,-11.75
Query 35,0,0,0
Query 36,2,20,-48.0
Query 37,0,0,0
Query 38,0,0,0
Query 39,1,10,1
Query 40,4,40,-1.1
Query 41,4,40,-5.5
Query 42,6,60,-0.8571428571428572
Query 43,1,10,0
Query 44,3,30,0.5
Query 45,2,20,-33.0
Query 46,5,50,0.25
Query 47,0,0,0
Query 48,6,60,0.8
Query 49,6,60,-0.4571428571428571
Query 50,1,10,0
Query 51,0,0,0
Query 52,4,40,-0.30000000000000004
Query 53,3,30,-1.5
Query 54,1,10,0
Query 55,2,20,-12.0
Query 56,4,40,0.8
Query 57,2,20,-4.0
Query 58,4,40,0.30000000000000004
Query 59,3,30,-1.75
Query 60,1,10,0
Query 61,1,10,0
Query 62,1,10,0
Query 63,4,40,-2.9
Query 64,3,30,-3.0
Query 65,2,20,-49.0
Query 66,2,20,-24.0
Query 67,1,10,0
Query 68,4,40,-5.5
Query 69,1,10,0
Query 70,3,30,-5.5
Query 71,2,20,-7.0
Query 72,0,0,0
Query 73,0,0,0
Query 74,3,30,-4.25
Query 75,5,50,-2.5
Query 76,5,50,-2.7
Query 77,3,30,-5.5
Query 78,1,10,0
Query 79,1,10,0
Query 80,4,40,-4.2
Query 81,4,40,-1.2000000000000002
Query 82,1,10,0
Query 83,3,30,-8.25
Query 84,2,20,-64.0
Query 85,2,20,-28.0
Query 86,2,20,-3.0
Query 87,2,20,-3.0
Query 88,0,0,0
Query 89,4,40,0.4
Query 90,4,40,-3.5
Query 91,3,30,-4.0
Query 92,4,40,-4.5
Query 93,1,10,0
Query 94,4,40,-5.9
Query 95,4,40,0.6
Query 96,3,30,-5.25
Query 97,2,20,-28.0
Query 98,3,30,-3.75
Query 99,4,40,-5.9
Query 100,0,0,0
Averages,2.37,23.7,-6.375642857142855
